;additionalInfos;authorFirstname;authorLastname;correctionsAfter1938;firstEditionPublicationPlace;firstEditionPublicationYear;firstEditionPublisher;ocrResult;pageNumberInOCRDocument;secondEditionPublicationPlace;secondEditionPublicationYear;secondEditionPublisher;ssFlag;title
2350;;Eduard;Stadtler;;Düsseldorf;1936;Neuer Zeitverl.;Stadtler, Eduard: Bolschewismus als Weitgefahr. Düsseldorf: Neuer Zeitverl. 1936. — 1. Aufl. u. d. T.: Weltkriegsrevolution. Leipzig: Köhler 1920.;141;Düsseldorf;1936;Neuer Zeitverl.;False;Bolschewismus als Weitgefahr
2351;;Leo S.;Sosnowski;;Wien;1924;Verl. f. Lit. u. Politik;Sosnowski, Leo S.: Taten und Menschen. Wien: Verl. f. Lit. u. Politik 1924.;139;Wien;1924;Verl. f. Lit. u. Politik;False;Taten und Menschen
2352;;Claude;Farrère;;München;1928;Georg Müller;Farrère, Claude: Fräulein Dax. München: Georg Müller 1928.;35;München;1928;Georg Müller;False;Fräulein Dax
2353;;Ritterio;Flapp;;Wien;1932;Flagella-Verl.;Flapp, Ritterio: Peitsch-Orgien. Wien: Flagella-Verl. 1932.;38;Wien;1932;Flagella-Verl.;False;Peitsch-Orgien
2354;;Friedrich;Merkenschlager;;Berlin;1934;Hoffmann;Merkenschlager, Friedrich: Zwischen Hünengrab und Pfahlbau. Berlin: Hoffmann 1934.;94;Berlin;1934;Hoffmann;False;Zwischen Hünengrab und Pfahlbau
2355;;h. ;Weber u. C. Wel;;Hannover;1930;Witte;Weber, H., u. C. Wel: Menschen, die nach Liebe hungern. Hannover: Witte 1930.;0;Hannover;1930;Witte;False;Menschen, die nach Liebe hungern
2356;;Hanna;Ulbrich;;Hamburg;1926;Überreich;Ulbrich, Hanna: Das tuberkulöse Kind. Hamburg: Überreich 1926.;150;Hamburg;1926;Überreich;False;Das tuberkulöse Kind
2357;;Florentine;Gebhardt;;Berlin;1935;Neuer Berliner Buchvertrieb;Gebhardt, Florentine: Kurze Wechselgespräche für Elternabende. Berlin: Neuer Berliner Buchvertrieb 1935.;43;Berlin;1935;Neuer Berliner Buchvertrieb;False;Kurze Wechselgespräche für Elternabende
2358;Jahresliste 1939 des schädlichen und unerwünschten Schrifttums;Edgar;Alexander;;Zürich;1938;Europa;Alexander, Edgar: Deutsches Brevier. — Zürich: Europa Verl. (1938).;0;Zürich;1938;Europa;True;Deutsches Brevier
2359;;Josef;Carlebach;;Hamburg;1934;Israelit. Familienblatt;Carlebach, Josef: Ritualmord? Hamburg: Israelit. Familienblatt 1934.;20;Hamburg;1934;Israelit. Familienblatt;False;Ritualmord?
2360;;Kurt;Schwitters;;Berlin;1923;Der Sturm;Schwitters, Kurt: Die Blume Anna. Berlin: Der Sturm 1923.;134;Berlin;1923;Der Sturm;False;Die Blume Anna
2361;;Stella;Blagojewa;;Moskau;1934;Verlagsgen. ausländ. Arbeiter;Blagojewa, Stella: Dimitroff. Moskau: Verlagsgen. ausländ. Arbeiter 1934.;12;Moskau;1934;Verlagsgen. ausländ. Arbeiter;True;Dimitroff
2362;;Franz Ehregott;Hauptvogel;;Leipzig;1922;Hartung;Hauptvogel, Franz Ehregott: Die neue Sittlichkeit. Leipzig: Hartung 1922.;54;Leipzig;1922;Hartung;False;Die neue Sittlichkeit
2363;;Julius;Haydu;;Wien;1931;Amalthea-Verl.;Haydu, Julius: Ins Chaos? Wien: Amalthea-Verl. 1931.;54;Wien;1931;Amalthea-Verl.;False;Ins Chaos?
2364;;Peter;Martin;;Paris;1937;Tallandier;Martin, Peter: Là-bas dans les geôles. Paris: Tallandier 1937.;92;Paris;1937;Tallandier;True;Là-bas dans les geôles
2365;;G.;Antonow;;Moskau;1933;Verlagsgen. ausländ. Arbeiter;+ Antonow, G.: Die Erfahrung der KPdSU bei der Regulierung des Wachstums ... der Partei. Moskau: Verlagsgen. ausländ. Arbeiter 1933.;0;Moskau;1933;Verlagsgen. ausländ. Arbeiter;False;Die Erfahrung der KPdSU bei der Regulierung des Wachstums
2366;;Wilhelm;Boerner;;Wien;1936;Verl. Ethische Gemeinde;Boerner, Wilhelm: Antisemitismus, Rassenfrage, Menschlichkeit. Wien: Verl. Ethische Gemeinde 1936.;13;Wien;1936;Verl. Ethische Gemeinde;False;Antisemitismus, Rassenfrage, Menschlichkeit
2367;;;;; Prag; 1933;Graphia;Revolution gegen Hitler! Prag: Graphia 1933.;118; Prag; 1933;Graphia;False;Revolution gegen Hitler
2368;;Regine;Deutsch;;Gotha;1920;Perthes;Deutsch, Regine: Die politische Tat der Frau. Gotha: Perthes 1920.;25;Gotha;1920;Perthes;False;Die politische Tat der Frau
2369;;Anna;Freud;;;;;Freud, Anna: Sämtliche Schriften.;41;;;;False;Sämtliche Schriften
2370;;Rudolf;Schay;;Berlin;1929;Welt-Verl.;Schay, Rudolf: Juden in der deutschen Politik. Berlin: Welt-Verl. 1929.;127;Berlin;1929;Welt-Verl.;False;Juden in der deutschen Politik
2371;;;;; Leipzig; 1930;Parthenon-Verl.;Sittenspiegel der Nacktheit. Leipzig: Parthenon-Verl. 1930.;138; Leipzig; 1930;Parthenon-Verl.;False;Sittenspiegel der Nacktheit
2372;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“

Eine Schrift bereits in »Liste des schädlichen und unerwünschten Schrifttums« S. 59. eine zweite in »Jahresliste 1940« S. 10.

";Hermann;Hiltbrunner;;;;;"Hiltbrunner, Hermann: sämtliche Schriften.

Eine Schrift bereits in »Liste des schädlichen und unerwünschten Schrifttums« S. 59. eine zweite in »Jahresliste 1940« S. 10.

";7;;;;True;sämtliche Schriften
2373;;Friedrich;Weiss;;;;;Weiss, Friedrich: Sämtliche Schriften.;159;;;;False;Sämtliche Schriften
2374;;René;Jouglet;;München;1927;Drei Masken-Verl.;Jouglet, René: Der Seelenräuber. München: Drei Masken-Verl. 1927.;65;München;1927;Drei Masken-Verl.;False;Der Seelenräuber
2375;Jahresliste 1940 des schädlichen und unerwünschten Schrifttums;Werner;Naef;;Aarau;1940;Sauerländer ;Naef, Werner: Geschichtliche Besinnung in der Gegenwart. — Aarau: Sauerländer 1940.;13;Aarau;1940;Sauerländer ;True;Geschichtliche Besinnung in der Gegenwart
2376;;Hans;Muehlestein;;Leipzig;1918;Der Neue Geist;Muehlestein, Hans: Europäische Reformation. Leipzig: Der Neue Geist 1918.;98;Leipzig;1918;Der Neue Geist;False;Europäische Reformation
2377;Jahresliste 1940 des schädlichen und unerwünschten Schrifttums;;;;Prag-Karlin;um 1938;Neumann;Religion im Leben der Menschen. — Prag-Karlin [um 1938]: Neumann.;14;Prag-Karlin;um 1938;Neumann;True;Religion im Leben der Menschen
2378;;;;; Wien; 1928;Verl. f. Kulturforschung;Sittengeschichte des Hafens und der Reise. Wien: Verl. f. Kulturforschung 1928.;137; Wien; 1928;Verl. f. Kulturforschung;False;Sittengeschichte des Hafens und der Reise
2379;;Camille;Lemonnier;;Berlin;1928;Der Bücherkreis;Lemonnier, Camille: Es geht ein Wind durch die Mühlen. Berlin: Der Bücherkreis 1928.;83;Berlin;1928;Der Bücherkreis;False;Es geht ein Wind durch die Mühlen
2380;;Hugo;Sonnenschein;;;;;Sonnenschein, Hugo: Sämtliche Schriften.;139;;;;False;Sämtliche Schriften
2381;;Siegfried;Lichtenstaedter;;Leipzig;1929;Engel;Lichtenstaedter, Siegfried: Schächtfrage und Tierschutz. Leipzig: Engel 1929.;85;Leipzig;1929;Engel;False;Schächtfrage und Tierschutz
2382;;H.;Cawil;;Zürich;1935;Genossenschaftsdruck;Cawil, H.: Der Fall Jacob. Zürich: Genossenschaftsdruck 1935.;21;Zürich;1935;Genossenschaftsdruck;True;Der Fall Jacob
2383;;Richard;Schwartz;;Wien;1920;Nene Erde;Schwartz, Richard: Gegen Blutvergiessen und Todesstrafe. Wien: Nene Erde 1920.;133;Wien;1920;Nene Erde;False;Gegen Blutvergiessen und Todesstrafe
2384;Jahresliste 1939 des schädlichen und unerwünschten Schrifttums;;;;Prag;;Zionistische Propagandastelle Goldelmann;Kleine zionistische Bücherei. — Prag: Zionistische Propagandastelle Gol- delmann.;11;Prag;;Zionistische Propagandastelle Goldelmann;False;Kleine zionistische Bücherei
2385;;Alexander;Ular;;Berlin;1905;S. Fischer;Ular, Alexander: Die russische Revolution. Berlin: S. Fischer 1905.;150;Berlin;1905;S. Fischer;False;Die russische Revolution
2386;;Viktor von;Koczian;;Leipzig;1921;Vogel & Vogel;Koczian, Viktor von: Der Vagabund der Liebe. Leipzig: Vogel & Vogel 1921.;74;Leipzig;1921;Vogel & Vogel;False;Der Vagabund der Liebe
2387;;Alexander;Forbath;;London;1938;Pallas Publishing Co.;Forbath, Alexander: Europe into the abyss. London: Pallas Publishing Co. 1938.;39;London;1938;Pallas Publishing Co.;True;Europe into the abyss
2388;;Friedrich Wilhelm;Heinz;;Berlin;1933;Frundsberg-Verl.;Heinz, Friedrich Wilhelm: Kameraden der Arbeit. Berlin: Frundsberg-Verl. 1933.;55;Berlin;1933;Frundsberg-Verl.;False;Kameraden der Arbeit
2389;;Fritz;Wildung;;Berlin;1929;Der Bücherkreis;Wildung, Fritz: Arbeitersport. Berlin: Der Bücherkreis 1929.;162;Berlin;1929;Der Bücherkreis;False;Arbeitersport
2390;;Paul;Wagler;;München;1919;Reinhard;Wagler, Paul: Das deutsche Erwachen zur Wirklichkeit. München: Reinhard 1919.;155;München;1919;Reinhard;False;Das deutsche Erwachen zur Wirklichkeit
2391;Jahresliste 1940 des schädlichen und unerwünschten Schrifttums;Paul;Senn;;St. Gallen;1940;Eigenland-Verl. [aufgest.:] P. Senn;"Senn, Paul: Bauer oder Proletarier? Scholle oder ... Blut? — (St. Gallen: Eigenland-Verl.; [aufgest.:] P. Senn 1940.)";16;St. Gallen;1940;Eigenland-Verl. [aufgest.:] P. Senn;True;Bauer oder Proletarier? Scholle oder ... Blut?
2392;;Bertha;Gysin;;Leipzig;1921;Der Neue Geist-Verl.;Gysin, Bertha: Pädagogisches und politisches Ideal. Leipzig: Der Neue Geist-Verl. 1921.;52;Leipzig;1921;Der Neue Geist-Verl.;False;Pädagogisches und politisches Ideal
2393;;Eva;Raedt-de Canter;;Utrecht;1935;Bruna & Zoon;Raedt-de Canter, Eva: Vrouwengevangenis. Utrecht: Bruna & Zoon 1935.;114;Utrecht;1935;Bruna & Zoon;True;Vrouwengevangenis
2394;;Ludwig;Carriére;;Berlin;1935;Hoffmann;Carriére, Ludwig: Unser Lebensproblem. Berlin: Hoffmann 1935.;20;Berlin;1935;Hoffmann;False;Unser Lebensproblem
2395;;;;; Wien; 1932;Wiener Volksbuchh.;Hitler, Adolf ~. Wien: Wiener Volksbuchh. 1932.;59; Wien; 1932;Wiener Volksbuchh.;False;Hitler, Adolf ~
2396;;Alfred;Falk;;;;;Falk, Alfred: Sämtliche Schriften.;35;;;;False;Sämtliche Schriften
2397;;;Seidler, Stella, P. Margolis u. E. Ritter;;Moskau; 1934;Verlagsgen. ausländ. Arbeiter;Seidler, Stella, P. Margolis u. E. Ritter: Unter der Peitsche. Moskau: Verlagsgen. ausländ. Arbeiter 1934.;135;Moskau; 1934;Verlagsgen. ausländ. Arbeiter;False;Unter der Peitsche
2398;;Benjamin Barr;Lindsey;;Stuttgart;1927;Dt. Verlagsanst.;Lindsey, Benjamin Barr: Die Revolution der modernen Jugend. Stuttgart: Dt. Verlagsanst. 1927.;86;Stuttgart;1927;Dt. Verlagsanst.;False;Die Revolution der modernen Jugend
2399;;Martin;Ulbrich;;Hamburg;1927;Überreich;Ulbrich, Martin: Unseres Volkes grösste Not und seine Rettung. Hamburg: Überreich 1927.;150;Hamburg;1927;Überreich;False;Unseres Volkes grösste Not und seine Rettung
2400;;Walter;Bloem;;Leipzig;1927;Fikentscher;Bloem, Walter: Brüderlichkeit. Leipzig: Fikentscher 1927.;12;Leipzig;1927;Fikentscher;False;Brüderlichkeit
2401;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“

Unter d. T. »Benney: Schlechte Gesellschaft« bereits in »Liste des schädlichen und unerwünschten Schrifttums« S. 9.";Mark;Benney;;Zürich;1941;A. Müller;"Benney, Mark: Aus der Unterwelt. — Zürich: A. Müller [1941].

Unter d. T. »Benney: Schlechte Gesellschaft« bereits in »Liste des schädlichen und unerwünschten Schrifttums« S. 9.";2;Zürich;1941;A. Müller;True;Aus der Unterwelt
2402;;Eugen;Putti;;Wien;1924;Kutschera;Putti, Eugen: Jungferngift. Wien: Kutschera 1924.;113;Wien;1924;Kutschera;False;Jungferngift
2403;;Ernst A.;Czerwonka;;Leipzig;1927;Marienverl.;Czerwonka, Ernst A.: Schinderhannes, der tollkühne Räuber u. Abenteurer. Leipzig: Marienverl. 1927.;23;Leipzig;1927;Marienverl.;False;Schinderhannes, der tollkühne Räuber u. Abenteurer
2404;;Ernest;Issberner-Haldane;;Lorch;1929;Renatus-Verl.;Issberner-Haldane, Ernest: Charakterologische Tatsachen und deren Merkmale. Lorch: Renatus-Verl. 1929.;66;Lorch;1929;Renatus-Verl.;False;Charakterologische Tatsachen und deren Merkmale
2405;;W. W.;Prokofjew;;Moskau;1933;Verlagsgen. ausländ. Arbeiter;Prokofjew, W. W.: Techniker und Ingenieure in der UdSSR. Moskau: Verlagsgen. ausländ. Arbeiter 1933.;113;Moskau;1933;Verlagsgen. ausländ. Arbeiter;True;Techniker und Ingenieure in der UdSSR
2406;;Peter;Riss;;Hamburg;1931;Fackelreiter-Verl.;Riss, Peter: Die grosse Zeit. Hamburg: Fackelreiter-Verl. 1931.;120;Hamburg;1931;Fackelreiter-Verl.;False;Die grosse Zeit
2407;;Mark;Egart;;Moskau;1932;Verlagsgen. ausländ. Arbeiter;Egart, Mark: Die Überfahrt. Moskau: Verlagsgen. ausländ. Arbeiter 1932.;29;Moskau;1932;Verlagsgen. ausländ. Arbeiter;True;Die Überfahrt
2408;;;;; Moskau; 1932;Verlagsgen. ausländ. Arbeiter;Chosrastschot-Brigade, Die erste ~. Moskau: Verlagsgen. ausländ. Arbeiter 1932.;21; Moskau; 1932;Verlagsgen. ausländ. Arbeiter;True;Chosrastschot-Brigade, Die erste ~
2409;;Friedrich;Marby;;Stuttgart;1924;Marby-Verl.;Marby, Friedrich: Die Sprache des Kopfes. Stuttgart: Marby-Verl. 1924.;91;Stuttgart;1924;Marby-Verl.;False;Die Sprache des Kopfes
2410;„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“;Franz;Boegler;;;;;Boegler, Franz: sämtliche Schriften.;2;;;;True;sämtliche Schriften
2411;;Michail N.;Pokrowski;;;;;Pokrowski, Michail N.: Sämtliche Schriften.;111;;;;False;Sämtliche Schriften
2412;;Max;Westphal;;Berlin;1922;Arbeiterjugend-Verl.;Westphal, Max: Unser Wirken. Berlin: Arbeiterjugend-Verl. 1922.;161;Berlin;1922;Arbeiterjugend-Verl.;False;Unser Wirken
2413;;;;; Leipzig; 1928;Fikentscher;Frau, Die ~ im heutigen Russland. Novellen. Leipzig: Fikentscher 1928.;40; Leipzig; 1928;Fikentscher;False;Frau, Die ~ im heutigen Russland. Novellen
2414;;C. Hermann Paul;Wels;;Dresden;1931;Ehlermann;Wels, C. Hermann Paul: Staat und Volk. Dresden: Ehlermann 1931.;158;Dresden;1931;Ehlermann;False;Staat und Volk
2415;;;;; Strassburg; 1937;Ed. Prométhée;Recht, Das ~ auf Bildung. Strassburg: Ed. Prométhée 1937.;115; Strassburg; 1937;Ed. Prométhée;True;Recht, Das ~ auf Bildung
2416;;Panait;Istrati;;München;1930;Piper;Istrati, Panait: So geht es nicht. Die Sowjets von heute. München: Piper 1930.;66;München;1930;Piper;False;So geht es nicht. Die Sowjets von heute
2417;;Paul;Margueritte;;Wien;1905;Wiener Verl.;Margueritte, Paul: Bohème. Wien: Wiener Verl. 1905.;92;Wien;1905;Wiener Verl.;False;Bohème
2418;;Fred;Gildhorn;;Zürich;1935;Oprecht u. Helbling;Gildhorn, Fred: Vier Jahre an der Ostfront. Zürich: Oprecht u. Helbling 1935.;46;Zürich;1935;Oprecht u. Helbling;True;Vier Jahre an der Ostfront
2419;;Hans;Natonek;;Amsterdam;1936;A. de Lange;Natonek, Hans: Der Schlemihl. Amsterdam: A. de Lange 1936.;101;Amsterdam;1936;A. de Lange;True;Der Schlemihl
2420;;Alexander Otto;Weber;;Berlin;1926;Hesse;Weber, Alexander Otto: Ungeschminkt. Berlin: Hesse 1926.;158;Berlin;1926;Hesse;False;Ungeschminkt
2421;„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“;Hermann, Dr.;Schmidt ;;Fulda;1939;Parzeller;Schmidt, H[ermann], Dr.: Christlicher Erlösungsglaube, eine »Religion der Ehrlosen«? — Fulda: Parzeller (1939).;16;Fulda;1939;Parzeller;True;Christlicher Erlösungsglaube, eine »Religion der Ehrlosen«?
2422;;Günther;Dehn;;Berlin;1933;Furche-Verl.;Dehn, Günther: Proletarische Jugend. Berlin: Furche-Verl. 1933.;24;Berlin;1933;Furche-Verl.;False;Proletarische Jugend
2423;;Herbert;Buchlohe;;Paris;;Ed. du Carrefour;Buchlohe, Herbert: Griff über die Grenze. Paris: Ed. du Carrefour 0. J.;0;Paris;;Ed. du Carrefour;True;Griff über die Grenze
2424;Jahresliste 1940 des schädlichen und unerwünschten Schrifttums;Nikolaus;Mueller;;München;1931;Selbstverl.;Mueller, Nikolaus: Die sexuelle Aufklärung des Mannes. — München: Selbstverl. 1931.;13;München;1931;Selbstverl.;False;Die sexuelle Aufklärung des Mannes
2425;;Richard;Gellner;;Leipzig;1933;Hillmann;Gellner, Richard: Familie Hillert. Leipzig: Hillmann 1933.;44;Leipzig;1933;Hillmann;False;Familie Hillert
2426;;Martin Christian;Sander;;;;;Sander, Martin Christian: Sämtliche Schriften.;125;;;;False;Sämtliche Schriften
2427;;Josephe Ch.;Bonnier;;Strassburg;1937;Ed. Prométhée;Bonnier, Josephe Ch.: Spanien. Strassburg: Ed. Prométhée 1937.;14;Strassburg;1937;Ed. Prométhée;True;Spanien
2428;Sämtliche Ausgaben;Erwin;Rosen;;;;;Rosen, Erwin: In der Fremdenlegion. Sämtliche Ausgaben.;122;;;;False;In der Fremdenlegion
2429;„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“;Franz;Franziss;;Leipzig;1940;J. Klinkhardt;Franziss, Franz: Wegbereiter des Kraftwagens. – Leipzig. J. Klinkhardt (1940) = Wille, Tat u. Vorbild.;5;Leipzig;1940;J. Klinkhardt;False;Wegbereiter des Kraftwagens = Wille, Tat u. Vorbild
2430;;Wladimir;Ferkes;;Oppeln;1923;;Ferkes, Wladimir: Die rote Strella. Oppeln 1923.;0;Oppeln;1923;;False;Die rote Strella
2431;;Else;Jerusalem;;;;;Jerusalem, Else: Sämtliche Schriften.;64;;;;False;Sämtliche Schriften
2432;;Dorothea;Klaje-Wenzel;;Leipzig;1934;Klein;Klaje-Wenzel, Dorothea: Die Frau in der Volksgemeinschaft. Leipzig: Klein 1934.;72;Leipzig;1934;Klein;False;Die Frau in der Volksgemeinschaft
2433;;Ernst;Schlenker;;Neumünster;1935;Christophorus-Verl.;Schlenker, Ernst: Der Bumerang. Neumünster: Christophorus-Verl. 1935.;128;Neumünster;1935;Christophorus-Verl.;False;Der Bumerang
2434;;E.;Kolman;;Moskau;1935;Verlagsgen. ausländ. Arbeiter;Kolman, E.: Wissenschaft, Religion und Marxismus. Moskau: Verlagsgen. ausländ. Arbeiter 1935.;75;Moskau;1935;Verlagsgen. ausländ. Arbeiter;True;Wissenschaft, Religion und Marxismus
2435;;Helmut von;Bracken;;Dresden;1926;Verl. Am andern Ufer;Bracken, Helmut von: Die Prügelstrafe in der Erziehung. Dresden: Verl. Am andern Ufer 1926.;15;Dresden;1926;Verl. Am andern Ufer;False;Die Prügelstrafe in der Erziehung
2436;;Kreszentia;Muehsam;;;;;Muehsam, Kreszentia: Sämtliche Schriften.;98;;;;False;Sämtliche Schriften
2437;;Ludwig;Dexheimer;;Wien;1930;Amalthea-Verl.;Dexheimer, Ludwig: Das Automaten-Zeitalter. Wien: Amalthea-Verl. 1930.;25;Wien;1930;Amalthea-Verl.;False;Das Automaten-Zeitalter
2438;Jahresliste 1940 des schädlichen und unerwünschten Schrifttums;;Farrow, Jörn s. Abenteuer, Jörn Farrows. Gruppe Il.;;;;;Farrow, Jörn s. Abenteuer, Jörn Farrows. Gruppe Il.;8;;;;False;
2439;Jahresliste 1940 des schädlichen und unerwünschten Schrifttums.;Alexej [Nikolaevič];Tolstoi;;Engels;1939;Deutscher Staatsverl.;"Tolstoi, Alexej [Nikolaevič]: Brot <Die Verteidigung von Zarizyn>. — Engels: Deutscher Staatsverl. 1939.

Dass. in e. Ausgabe der Meshdunarodnaja Kniga 1939.

";17;Engels;1939;Deutscher Staatsverl.;True;Brot. Die Verteidigung von Zarizyn
2440;;Hermann;Ungar;;Berlin;1930;Rowohlt;Ungar, Hermann: Die Gartenlaube. Berlin: Rowohlt 1930.;151;Berlin;1930;Rowohlt;False;Die Gartenlaube
2441;;Florentine;Gebhardt;;Berlin;1935;Neuer Berliner Buchvertrieb;Gebhardt, Florentine: Leichte Reigen u. Volksliedertänze. Berlin: Neuer Berliner Buchvertrieb 1935.;43;Berlin;1935;Neuer Berliner Buchvertrieb;False;Leichte Reigen u. Volksliedertänze
2442;;Theodor Hendrik van de;Velde;;Leipzig;1929;Grethlein;Velde, Theodor Hendrik van de: Der Ehespiegel. Leipzig: Grethlein 1929.;152;Leipzig;1929;Grethlein;False;Der Ehespiegel
2443;Jahresliste 1940 des schädlichen und unerwünschten Schrifttums;Admi E.;Tillgner [d. i. Erna Tillgner];;Leipzig;1940;Karl Friedrich Pfau-Verl.;Tillgner, Admi E. [d. i. Erna Tillgner]: Stimmen aus dem Kerker. -- Leipzig: Karl Friedrich Pfau-Verl. (1940).;17;Leipzig;1940;Karl Friedrich Pfau-Verl.;False;Stimmen aus dem Kerker
2444;;Tharsicius;Paffrath;;Paderborn;1936;Bonifacius Druckerei;Paffrath, Tharsicius: Das Gotteslicht im alten Testament. Paderborn: Bonifacius Druckerei 1936.;107;Paderborn;1936;Bonifacius Druckerei;False;Das Gotteslicht im alten Testament
2445;;Eugen von;Tegen;;Dresden;1930;Mignon-Verl.;Tegen, Eugen von: Unschuldig getrennt. — Dreyfus, des unschuldig Verbannten und seiner Gattin ergreifendes Schicksal. Dresden: Mignon-Verl. 1930.;147;Dresden;1930;Mignon-Verl.;False;Unschuldig getrennt. — Dreyfus, des unschuldig Verbannten und seiner Gattin ergreifendes Schicksal
2446;;Ferdinand Frh. von;Reitzenstein;;Chemnitz;1921;Verl. »Das Wissen d. Volkes«;Reitzenstein, Ferdinand Frh. von: Liebe und Sitte. Chemnitz: Verl. »Das Wissen d. Volkes« 1921.;117;Chemnitz;1921;Verl. »Das Wissen d. Volkes«;False;Liebe und Sitte
2447;Jahresliste 1940 des schädlichen und unerwünschten Schrifttums;Alexander;Zak;;Affoltern;1939;Weiss;Zak, Alexander: Die Mauer. Zur Frage d. jüdischen Isolierung. — Affol¬tern: Weiss 1939.;19;Affoltern;1939;Weiss;True;Die Mauer. Zur Frage d. jüdischen Isolierung
2448;;Friedrich M.;Minck;;Berlin;1920;Rätebund;Minck, Friedrich M.: Rätesozialismus. Berlin: Rätebund 1920.;96;Berlin;1920;Rätebund;False;Rätesozialismus
2449;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“

Eine Schrift bereits in »Liste des schädlichen und unerwünschten Schrifttums« S. 73.";Franz;Kobler;;;;;"Kobler, Franz, ehem. Rechtsanwalt in Wien: sämtliche Schriften.

Eine Schrift bereits in »Liste des schädlichen und unerwünschten Schrifttums« S. 73.

";9;;;;True;sämtliche Schriften
2450;;Robert;Groetzsch;;Pressburg;1936;Prager;Groetzsch, Robert: Wir suchen ein Land. Pressburg: Prager 1936.;49;Pressburg;1936;Prager;True;Wir suchen ein Land
2451;Jahresliste 1940 des schädlichen und unerwünschten Schrifttums;;;;Antwerpen;;Vortrupp-Verlag;Vortrupp-Verlag, Antwerpen.;21;Antwerpen;;Vortrupp-Verlag;True;Vortrupp-Verlag, Antwerpen. Gesamtproduktion.
2452;;Karl;Seher;;Hamburg;1925;Ruhe;Seher, Karl: Sexuelle Jugendsünde. Hamburg: Ruhe 1925.;134;Hamburg;1925;Ruhe;False;Sexuelle Jugendsünde
2453;;;;; Frankfurt a/M.; 1931;Societäts-Verl.;Wehrlos hinter der Front. Frankfurt a/M.: Societäts-Verl. 1931.;158; Frankfurt a/M.; 1931;Societäts-Verl.;False;Wehrlos hinter der Front
2454;;Hans;Kirchsteiger;;Wien;1921;Anzengruber-Verl.;Kirchsteiger, Hans: Das Beichtsiegel. Wien: Anzengruber-Verl. 1921.;72;Wien;1921;Anzengruber-Verl.;False;Das Beichtsiegel
2455;Jahresliste 1940 des schädlichen und unerwünschten Schrifttums;;Préf.: Card. (Alfred) Baudrillart;;Paris;1939;Flammarion;Racisme et christianisme. Préf.: Card. (Alfred) Baudrillart. — Paris: Flammarion (1939).;14;Paris;1939;Flammarion;True;Racisme et christianisme
2456;;;Kossior, S., u. P. Postyschew;;Moskau; 1934;Verlagsgen. ausländ. Arbeiter;Kossior, S., u. P. Postyschew: Der bolschewistische Sieg in der Ukraine. Moskau: Verlagsgen. ausländ. Arbeiter 1934.;76;Moskau; 1934;Verlagsgen. ausländ. Arbeiter;True;Der bolschewistische Sieg in der Ukraine
2457;;Hermann;Fleischack;;Leipzig;1920;Hartung;Fleischack, Hermann: Allerlei von der Liebe. Leipzig: Hartung 1920.;38;Leipzig;1920;Hartung;False;Allerlei von der Liebe
2458;;Josef;Hofbauer;;Pressburg;1938;Prager;Hofbauer, Josef: Der grosse alte Mann. — Ein Masaryk-Buch. Pressburg: Prager 1938.;58;Pressburg;1938;Prager;True;Der grosse alte Mann. — Ein Masaryk-Buch
2459;;Alfred;Striemer;;Berlin;1919;Vorwärts;Striemer, Alfred: Zur Kritik der freien Wirtschaft. Berlin: Vorwärts 1919.;145;Berlin;1919;Vorwärts;False;Zur Kritik der freien Wirtschaft
2460;;Otto;Ruehle;;;;;Ruehle, Otto: Sämtliche Schriften.;124;;;;False;Sämtliche Schriften
2461;;Helmut;Herzfeld;;;;;Herzfeld, Helmut: Sämtliche Schriften.;58;;;;False;Sämtliche Schriften
2462;;Andreas;Scheu;;Wien;1923;Wiener Volksbuchh.;Scheu, Andreas: Umsturzkeime. Wien: Wiener Volksbuchh. 1923.;127;Wien;1923;Wiener Volksbuchh.;False;Umsturzkeime
2463;;Maximilliane;Ackers;;Hannover;1925;Steegemann;Ackers, Maximilliane: Freundinnen. Hannover: Steegemann 1925.;1;Hannover;1925;Steegemann;False;Freundinnen
2464;;Ludwig;Levy-Lenz;;;;;Levy-Lenz, Ludwig: Sämtliche Schriften.;84;;;;False;Sämtliche Schriften
2465;"

„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“

Eine Schrift bereits in »Liste des schädlichen und unerwünschten Schrifttums« S. 28.

";Willi;Duwe;;;;;"Duwe, Willi: sämtliche Schriften.

Eine Schrift bereits in »Liste des schädlichen und unerwünschten Schrifttums« S. 28.

";4;;;;True;sämtliche Schriften
2466;;;;;München;1932;Ludendorff-Verl.;Durch Paulus von Gudrun zum Gretchen. (1. Ludendorff, Erich: Der Jude Paulus u. die Frau. — 2. Kurth, Hans: Von der Gudrun zum Gretchen.) München: Ludendorff-Verl. 1932.;0;München;1932;Ludendorff-Verl.;True;Durch Paulus von Gudrun zum Gretchen. (1. Ludendorff, Erich: Der Jude Paulus u. die Frau. — 2. Kurth, Hans: Von der Gudrun zum Gretchen.) M
